Time(s),Sound
0,527.71475
1,626.787875
2,323.3923125
3,394.932875
4,295.27725
5,97.149625
6,106.3066875
7,450.8281875
8,198.48375
9,598.6265
10,158.9523125
11,228.3945625
12,482.947
13,123.4790625
14,3.5608125
15,80.762375
16,119.2505
17,92.6854375
18,21.2585
19,269.9513125
20,252.1535625
21,298.3861875
22,236.1755625
23,208.722875
24,157.632875
25,230.186625
26,167.55075
27,271.3400625
28,210.6150625
29,330.2646875
30,136.3404375
31,333.6791875
32,163.06
33,117.4475625
34,185.7823125
35,208.008875
36,325.586125
37,347.4285625
38,1.762125
39,243.1994375
40,175.013
41,233.2923125
42,341.34325
43,80.701875
44,249.2366875
45,91.843875
46,177.635875
47,492.0316875
48,263.6946875
49,231.8928125
50,134.8046875
51,312.5435625
52,207.3135625
53,164.4340625
54,245.17625
55,34.965125
56,2.597
57,199.0986875
58,305.0003125
59,189.8366875
60,204.4880625
61,72.3951875
62,272.187125
63,92.2045625
64,178.3506875
65,184.1710625
66,376.95725
67,223.919875
68,96.4454375
69,244.6435
70,83.7373125
71,472.1535625
72,329.952125
73,356.6468125
74,253.3778125
75,143.0536875
76,246.723125
77,161.268875
78,388.9008125
79,354.31175
80,243.83575
81,240.9856875
82,230.9664375
83,142.2769375
84,237.152375
85,238.2639375
86,122.4659375
87,72.622875
88,161.1255625
89,376.2345
90,340.0315
91,357.230625
92,517.130625
93,199.9650625
94,115.816125
95,52.991625
96,95.5830625
97,88.84175
98,395.5690625
99,130.4620625
100,84.687
101,60.873875
102,25.674875
103,2.455875
104,37.34275
105,170.01325
106,213.462625
107,85.4315625
108,156.3743125
109,291.5238125
110,257.10525
111,308.475625
112,312.6254375
113,258.513625
114,140.459375
115,218.29775
116,50.9133125
117,15.632625
118,120.58475
119,82.9255625
120,23.43775
121,62.3155
122,241.7273125
123,175.7715625
124,71.6614375
125,110.729375
126,116.3249375
127,157.87675
128,132.6304375
129,116.6135625
130,176.1594375
131,126.4028125
132,115.082
133,38.8038125
134,207.81025
135,229.2650625
136,186.8976875
137,174.7708125
138,102.1778125
139,158.169125
140,102.28175
141,128.161875
142,78.012875
143,116.1685
144,73.9824375
145,48.3509375
146,3.41225
147,132.231625
148,315.6333125
149,140.820375
150,145.450375
151,249.9094375
152,238.3959375
153,277.8553125
154,251.8678125
155,195.8015625
156,108.83125
157,162.4869375
158,103.5168125
159,141.7895625
160,84.911625
161,185.5293125
162,172.595875
163,70.01
164,62.6425
165,44.0423125
166,103.4128125
167,108.5065
168,117.5765
169,137.9826875
170,93.4963125
171,151.299375
172,65.982375
173,181.4826875
174,208.777875
175,220.932875
176,122.975375
177,54.52625
178,55.0285
179,67.6055
180,55.0613125
181,87.1938125
182,35.3086875
183,36.1944375
184,27.1635625
185,2.2110625
186,94.7581875
187,107.426
188,255.106625
189,155.3791875
190,81.47625
191,67.897875
192,136.212125
193,83.5905625
194,77.15925
195,46.0229375
196,27.063125
197,126.84575
198,181.782875
199,417.365
200,196.7345
201,195.8579375
202,183.2585625
203,273.4085
204,376.114875
205,153.7199375
206,142.76125
207,80.7148125
208,72.6165
209,90.5324375
210,89.5885625
211,62.94525
212,110.6643125
213,89.193375
214,99.82075
215,83.1431875
216,46.7623125
217,69.884
218,101.98675
219,274.0929375
220,301.4835
221,174.68175
222,84.6850625
223,64.8034375
224,2.5201875
225,205.6974375
226,169.1105625
227,213.8766875
228,233.3825625
229,168.633375
230,134.5675
231,92.553375
232,96.2939375
233,39.5615
234,2.475875
235,154.766125
236,149.209
237,204.521875
238,185.96475
239,139.9449375
240,141.4404375
241,69.1601875
242,25.629125
243,27.3726875
244,82.1080625
245,42.14175
246,33.0511875
247,57.48825
248,3.5121270452358035
